clinic_name,address,clinic_street,clinic_number,clinic_city,clinic_county,clinic_other_details,something
Alpha Medica Centru de Medicina Regenerativa,"Voinesti, DN72A, 159Dambovita, Voinesti",,,Voinesti,Dambovita,"Voinesti, DN72A, 159",Mihai
Alpha Medical Center,Str. Vlad Judetu Nr. 46 sector 3 Bucuresti,Str. Vlad Judetu,Nr. 46,Sector 3,Bucuresti,,Mihai
Ama Optimex Clinica de Oftalmologie,Str. Toamnei Nr. 54 sector 2 Bucuresti,Str. Toamnei,Nr. 54,Sector 2,Bucuresti,,Mihai
Ambulatorul Spitalului Sanador,Str. Sevastopol Nr. 9 sector 1 Bucuresti,Str. Sevastopol,Nr. 9,Sector 1,Bucuresti,,Mihai
American Dent,"Str. Zizinului Nr. 79Brasov, Brasov",Str. Zizinului,Nr. 79,Brasov,Brasov,,Mihai
American Medical Center,Str. Nassaud Nr. 68A sector 5 Bucuresti,Str. Nassaud,Nr. 68A,Sector 5,Bucuresti,,Mihai
Amethyst Centru de Radioterapie Bucuresti,"Drumul Odai Nr. 42Ilfov, Otopeni",Drumul Odai,Nr. 42,Otopeni,Ilfov,,Mihai
Amethyst Centru de Radioterapie Cluj,"str. Razoare Nr. 486 GCluj, Floresti",str. Razoare,Nr. 486,Floresti,Cluj,G,Mihai
Amicus Med,Sos. Iancului Nr. 17 bl. 106C ap. 4 parter sector 2 Bucuresti,Sos. Iancului,Nr. 17,Sector 2,Bucuresti,bl. 106C ap. 4 parter,Mihai
Ana Aslan Clinica Bucuresti,"Str, Caldarusani Nr. 9, sector 1 Bucuresti","Str, Caldarusani",Nr. 9,Sector 1,Bucuresti,,Mihai
Ana Dent,"Piata Mihai Viteazul Nr. 9 ap. 12Cluj, Cluj-Napoca",Piata Mihai Viteazul,Nr. 9,Cluj-Napoca,Cluj,ap. 12,Mihai
Analimed - Blaj,"Str. Timotei Cipariu, Nr. 13Alba, Blaj",Str. Timotei Cipariu,Nr. 13,Blaj,Alba,,Mihai
Anatomic Dent Botosani,"Str. Grivita, Nr. 1, BotosaniBotosani, Botosani",Str. Grivita,Nr. 1,Botosani,Botosani,,Mihai
Andreea Dental Studio,"Str. Justinian Nr. 15A, Sector 2 Bucuresti",Str. Justinian,Nr. 15A,Sector 2,Bucuresti,,Mihai
Anginec,Bd-ul. Cantemir Dimitrie Nr.8 Bl. 3B Sc. C Ap. 76 Sector 4 BUCURESTI Bucuresti,Bd-ul. Cantemir Dimitrie,Nr. 8,Sector 4,Bucuresti,Bl. 3B Sc. C Ap. 76,Mihai
Angiomedica - Spital Privat Boli Cardiovasculare,Strada Cosminului Nr. 13 Sector 2 Bucuresti,Strada Cosminului,Nr. 13,Sector 2,Bucuresti,,Mihai
Anima - Drumul Taberei,B-dul 1 Mai Nr. 32 bl. F8 sc. 3 ap. 38 parter sector 6 Bucuresti,B-dul 1 Mai,Nr. 32,Sector 6,Bucuresti,bl. F8 sc. 3 ap. 38 parte,Mihai
Antares Clinic Onesti - Piata,"Str. Casinului Nr.2Bacau, Onesti",Str. Casinului,Nr. 2,Onesti,Bacau,,Mihai
Antares Clinic Piatra Neamt - Prefectura,"Str. Alaxandru cel Bun Nr. 27Neamt, Piatra Neamt",Str. Alaxandru cel Bun,Nr. 27,Piatra Neamt,Neamt,,Mihai
Antares Clinic Suceava,"Calea Unirii Nr.26Suceava, Suceava",Calea Unirii,Nr. 26,Suceava,Suceava,,Mihai
Antohi Medical Center,Str. Stolnicului Nr. 6-10 et. 1 ap. 4 sector 1 Bucuresti,Str. Stolnicului,Nr. 6-10,Sector 1,Bucuresti,et. 1 ap. 4,Mihai
Arca Med Craiova,"Str. Infratirii Nr. 24Dolj, Craiova",Str. Infratirii,Nr. 24,Craiova,Dolj,,Mihai
Arena Med,Bld. Basarabia Nr. 68 sector 2 Bucuresti,Bld. Basarabia,Nr. 68,Sector 2,Bucuresti,,Mihai
Aria Clinic,"Sos. Alba-Iulia Nr. 100Sibiu, Sibiu",Sos. Alba-Iulia,Nr. 100,Sibiu,Sibiu,,Mihai
Arisdent,,,,,,,Mihai
Armina Dental,Str. Abrud Nr. 76 Bucuresti,Str. Abrud,Nr. 76,***,Bucuresti,,Mihai
Armonia Dent,Str. Calea Calarasilor Nr. 176 bl 59 sc c ap 1 int 01 sector 3 Bucuresti,Str. Calea Calarasilor,Nr. 176,Sector 3,Bucuresti,bl 59 sc c ap 1 int 01,Mihai
Art Dent Total Amzei,Str. Piata Amzei Nr. 7-9 sc. A et. 1 ap. 4 Bucuresti,Str. Piata Amzei,Nr. 7-9,***,Bucuresti,sc. A et. 1 ap. 4,Mihai
Art Implant,B-dul Corneliu Coposu Nr. 35 et. 1 sector 3 Bucuresti,B-dul Corneliu Coposu,Nr. 35,Sector 3,Bucuresti,et. 1,Mihai
ArtDent Total Amzei,"Str. Piata Amzei Nr. 7-9, sc. A,et. 1, apt. 4, interfon 4Sector 1 Bucuresti",Str. Piata Amzei,Nr. 7-9,Sector 1,Bucuresti,"sc. A,et. 1, apt. 4, inte",Mihai
ArtDent Total Plevnei,Calea Plevnei Nr. 145B bl. 2 sector 6 - Complex Orhideea Gardens Bucuresti,Calea Plevnei,Nr. 145B,Sector 6,Bucuresti,bl. 2,Mihai
ArtMedical Clinic,Str. Pargarilor Nr. 51-55 sector 2 Bucuresti,Str. Pargarilor,Nr. 51-55,Sector 2,Bucuresti,,Mihai
Asclepios Medical Center,"Str. Prelungirea Bucovinei Nr. 8b ap. 1Constanta, Constanta",Str. Prelungirea Bucovinei,Nr. 8b,Constanta,Constanta,ap. 1,Mihai
Aston Clinic,Str. Ramnicu Valcea Nr. 18 sector 3 Bucuresti,Str. Ramnicu Valcea,Nr. 18,Sector 3,Bucuresti,,Mihai
AtDent,Sos. Stefan cel Mare Nr. 240 bloc 59 A scara 1 etaj 1 ap. 1 sector 2 Bucuresti,Sos. Stefan cel Mare,Nr. 240,Sector 2,Bucuresti,bloc 59 A scara 1 etaj 1,Mihai
Atelierul de slabit,"Blvd. Gheorghe Sincai Nr. 16, Sector 4 Bucuresti",Blvd. Gheorghe Sincai,Nr. 16,Sector 4,Bucuresti,,Mihai
Aum Cabinet,B-dul Iuliu Maniu  - zona metrou Gorjului sector 6 Bucuresti,B-dul Iuliu Maniu,,Sector 6,Bucuresti,zona metrou Gorjului,Mihai
Avicena Profertis,"B-dul Stefan cel Mare si Sfant Nr. 10Iasi, Iasi",B-dul Stefan cel Mare si Sfant,Nr. 10,Iasi,Iasi,,Mihai
AWA Dental Esthetic Clinic,"Str. Academiei Nr. 28-30, sector 1 Bucuresti",Str. Academiei,Nr. 28-30,Sector 1,Bucuresti,,Mihai
Axa Medical,"B-dul Dacia  bl. E2 parterHunedoara, Hunedoara",B-dul Dacia,,Hunedoara,Hunedoara,bl. E2 parter,Mihai
AZdent,"Str. Nicolae Titulescu Nr. 24 sc. 1Cluj, Cluj-Napoca",Str. Nicolae Titulescu,Nr. 24,Cluj-Napoca,Cluj,sc. 1,Mihai
Badea Medica,"Str. Rene Descartes Nr. 27Cluj, Cluj-Napoca",Str. Rene Descartes,Nr. 27,Cluj-Napoca,Cluj,,Mihai
BariClinic Bucuresti,"Str. Tony Bulandra, Nr. 27, etaj 6, sector 2 Bucuresti",Str. Tony Bulandra,Nr. 27,Sector 2,Bucuresti,etaj 6,Mihai
BariClinic Constanta,"Str. Mircea cel Batran Nr. 102Constanta, Constanta",Str. Mircea cel Batran,Nr. 102,Constanta,Constanta,,Mihai
BB Care Medical Center,Str. Tudor Vianu Nr. 33 sector 1 Bucuresti,Str. Tudor Vianu,Nr. 33,Sector 1,Bucuresti,,Mihai
Belle Vie Medical,"Strada Tudor Vladimirescu Nr. 20Ilfov, Pantelimon",Strada Tudor Vladimirescu,Nr. 20,Pantelimon,Ilfov,,Mihai
Beres Dent,Str. Drumul Taberi Nr.20 bl. C2 sc.2 ap. 40 Bucuresti,Str. Drumul Taberi,Nr. 20,***,Bucuresti,bl. C2 sc.2 ap. 40,Mihai
BESTMED SERV,"BD-UL UNIRII Nr. 15Mures, Reghin",BD-UL UNIRII,Nr. 15,Reghin,Mures,,Mihai
Bestmed Serv,"Str. Calea Unirii Nr. 56Prahova, Boldesti-Scaieni",Str. Calea Unirii,Nr. 56,Boldesti-Scaieni,Prahova,,Mihai
Beta Optic,"Str. Lucian Blaga Nr. 3ATimis, Timisoara",Str. Lucian Blaga,Nr. 3A,Timisoara,Timis,,Mihai
BettyDent,"str. dr. Felix, Nr. 41, bl. C2, sc. 3, parter, ap. 75, Sector 1 Bucuresti",str. dr. Felix,Nr. 41,Sector 1,Bucuresti,"bl. C2, sc. 3, parter, ap",Mihai
Biadent All,Str. Sfantul Spiridon Nr. 9 sector 2 Bucuresti,Str. Sfantul Spiridon,Nr. 9,Sector 2,Bucuresti,,Mihai
Bio Clinic - HIFU,Str. Pelinului Nr. 22 sector 3 Bucuresti,Str. Pelinului,Nr. 22,Sector 3,Bucuresti,,Mihai
Bio Lab,"Str. Simion Barnutiu Nr. 23BSalaj, Zalau",Str. Simion Barnutiu,Nr. 23B,Zalau,Salaj,,Mihai
Bio Ortoclinic Constanta,"Bd. Tomis Nr.97, etaj 1Constanta, Constanta",Bd. Tomis,Nr. 97,Constanta,Constanta,etaj 1,Mihai
Bio Ortoclinic Sector 1,Sos. Ghe. Ionescu Sisesti Nr. 325A sector 1 Bucuresti,Sos. Ghe. Ionescu Sisesti,Nr. 325A,Sector 1,Bucuresti,,Mihai
Bio Ortoclinic Sector 3,Str. Traian Popovici Nr. 79-91 sector 3 Bucuresti,Str. Traian Popovici,Nr. 79-91,Sector 3,Bucuresti,,Mihai
Bio Terra Med Grivitei,Calea Grivitei Nr. 3 sector 1 Bucuresti,Calea Grivitei,Nr. 3,Sector 1,Bucuresti,,Mihai
Bio Terra Med Negulici,Str. Pictor Ion Negulici Nr. 27 sector 1 Bucuresti,Str. Pictor Ion Negulici,Nr. 27,Sector 1,Bucuresti,,Mihai
Bioclinica,"Str. 23 August, Nr. 3A, et. 1, camera 6 (Langa Policlinica)Gorj, Targu Jiu",Str. 23 August,Nr. 3A,Targu Jiu,Gorj,"et. 1, camera 6 (Langa Po",Mihai
Bioclinica,"Str. Tudor Vladimirescu, Nr. 408Valcea, Dragasani",Str. Tudor Vladimirescu,Nr. 408,Dragasani,Valcea,,Mihai
Bioclinica - Alba Iulia,"B-dul Transilvaniei, Nr. 27, bl. 3EFG, parterAlba, Alba Iulia",B-dul Transilvaniei,Nr. 27,Alba Iulia,Alba,"bl. 3EFG, parter",Mihai
Bioclinica Aiud,"Str. Cuza Voda, Nr. 32, AiudAlba, Aiud",Str. Cuza Voda,Nr. 32,Aiud,Alba,,Mihai
Bioclinica Alexandru cel Bun,"Bulevardul Alexandru cel Bun, Nr. 11, sc. AIasi, Iasi",Bulevardul Alexandru cel Bun,Nr. 11,Iasi,Iasi,sc. A,Mihai
Bioclinica Alexandru Vlahuta,"B-dul Alexandru Vlahuta, Nr. 61, bl. 140Brasov, Brasov",B-dul Alexandru Vlahuta,Nr. 61,Brasov,Brasov,bl. 140,Mihai
Bioclinica Avram Iancu,"Str. Avram Iancu, Nr. 77Brasov, Brasov",Str. Avram Iancu,Nr. 77,Brasov,Brasov,,Mihai
Bioclinica Bals,"Str. Nicolae Balcescu, Nr.136, bl.44, sc.1Olt, Bals",Str. Nicolae Balcescu,Nr. 136,Bals,Olt,"bl.44, sc.1",Mihai
Bioclinica B-dul Dambovita,"B-dul Dambovita, Nr. 42Timis, Timisoara",B-dul Dambovita,Nr. 42,Timisoara,Timis,,Mihai
Bioclinica Beclean,"Str. 1 Decembrie 1918, Nr. 15Bistrita-Nasaud, Beclean",Str. 1 Decembrie 1918,Nr. 15,Beclean,Bistrita-Nasaud,,Mihai
Bioclinica Beius,"Str. 1 Decembrie 1918, Nr. 8Bihor, Beius",Str. 1 Decembrie 1918,Nr. 8,Beius,Bihor,,Mihai
Bioclinica Bistrita,"B-dul Independentei bl. 3, sc. A, ap.50Bistrita-Nasaud, Bistrita",B-dul Independentei,,Bistrita,Bistrita-Nasaud,"bl. 3, sc. A, ap.50",Mihai
Bioclinica Blaj,"Bulevardul Republicii, Nr. 1Alba, Blaj",Bulevardul Republicii,Nr. 1,Blaj,Alba,,Mihai
Bioclinica Brad,"Str. General Vasile Milea bl. B4, ap. 15Hunedoara, Brad",Str. General Vasile Milea,,Brad,Hunedoara,"bl. B4, ap. 15",Mihai
Bioclinica Buzias,"Str. Mihai Eminescu, Nr. 2Timis, Buzias",Str. Mihai Eminescu,Nr. 2,Buzias,Timis,,Mihai
Bioclinica Calea 3 Septembrie,"Calea 13 Septembrie Nr. 207A, parter, sector 5 Bucuresti",Calea 13 Septembrie,Nr. 207A,Sector 5,Bucuresti,parter,Mihai
Bioclinica Calea Aradului,"Calea Aradului, Nr. 32Timis, Timisoara",Calea Aradului,Nr. 32,Timisoara,Timis,,Mihai
Bioclinica Calea Galata,"Calea Galata, Nr.15, bl. F1DIasi, Iasi",Calea Galata,Nr. 15,Iasi,Iasi,bl. F1D,Mihai
Bioclinica Calea Martirilor,"Calea Martirilor, Nr. 15Timis, Timisoara",Calea Martirilor,Nr. 15,Timisoara,Timis,,Mihai
Bioclinica Calea Sagului,"Calea Sagului, Nr. 30-34, bl. C9Timis, Timisoara",Calea Sagului,Nr. 30-34,Timisoara,Timis,bl. C9,Mihai
Bioclinica Calea Torontalului,"Calea Torontalului, Nr. 1Timis, Timisoara",Calea Torontalului,Nr. 1,Timisoara,Timis,,Mihai
Bioclinica Campia Turzii,"Piata Mihai Viteazu, Nr. 11 (langa posta)Cluj, Campia Turzii",Piata Mihai Viteazu,Nr. 11,Campia Turzii,Cluj,(langa posta),Mihai
Bioclinica Caransebes,"Str. Mihai Viteazul,  bl.1, sc. DCaras-Severin, Caransebes",Str. Mihai Viteazul,,Caransebes,Caras-Severin,"bl.1, sc. D",Mihai
Bioclinica Cernavoda,"Str. Dacia, Nr. 12Constanta, Cernavoda",Str. Dacia,Nr. 12,Cernavoda,Constanta,,Mihai
Bioclinica Chisineu Cris,"Piata Avram Iancu, Nr. 25Arad, Chisineu-Cris",Piata Avram Iancu,Nr. 25,Chisineu-Cris,Arad,,Mihai
Bioclinica Codlea,"B-dul Garii, Nr. 39-41Brasov, Codlea",B-dul Garii,Nr. 39-41,Codlea,Brasov,,Mihai
Bioclinica Constanta km 4 - 5,"Str. Liliacului, Nr.1Constanta, Constanta",Str. Liliacului,Nr. 1,Constanta,Constanta,,Mihai
Bioclinica Craiova,"Str. Independentei, Nr. 12, bl. 7, Dolj, Craiova",Str. Independentei,Nr. 12,Craiova,Dolj,bl. 7,Mihai
Bioclinica Cumpana,"Sos. Constantei, Nr. 117, Centrul de Asistenta Socio-MedicalaConstanta, Cumpana",Sos. Constantei,Nr. 117,Cumpana,Constanta,Centrul de Asistenta Soci,Mihai
Bioclinica Curtici,"Str. Revolutiei, Nr. 53Arad, Curtici",Str. Revolutiei,Nr. 53,Curtici,Arad,,Mihai
Bioclinica Decebal Oradea,"B-dul Decebal Nr. 3, bl. P17Bihor, Oradea",B-dul Decebal,Nr. 3,Oradea,Bihor,bl. P17,Mihai
Bioclinica Deta,"Str. Victoriei, Nr. 24Timis, Deta",Str. Victoriei,Nr. 24,Deta,Timis,,Mihai
Bioclinica Drobeta - Turnu Severin,"Aleea Narciselor, Nr. 1, bl. D2, sc. 3, parter, ap. 41Mehedinti, Drobeta-Turnu Severin",Aleea Narciselor,Nr. 1,Drobeta-Turnu Severin,Mehedinti,"bl. D2, sc. 3, parter, ap",Mihai
Bioclinica Drumul Taberei,"Strada Valea Oltului, Nr. 77 - 79, parter, sector 6 Bucuresti",Strada Valea Oltului,Nr. 77,Sector 6,Bucuresti,"- 79, parter",Mihai
Bioclinica Eforie Nord,"Strada Republicii, Nr. 32 (Clinica Nordmed)Constanta, Eforie Nord",Strada Republicii,Nr. 32,Eforie Nord,Constanta,(Clinica Nordmed),Mihai
Bioclinica Fagaras,"B-dul Unirii,  bl. 9, sc. B, ap. 1Brasov, Fagaras",B-dul Unirii,,Fagaras,Brasov,"bl. 9, sc. B, ap. 1",Mihai
Bioclinica Finas Medical,"Calea Manastur, Nr. 105Cluj, Cluj-Napoca",Calea Manastur,Nr. 105,Cluj-Napoca,Cluj,,Mihai
Bioclinica Gheorghe Doja,"Str. Gheorghe Doja, Nr. 100ABihor, Oradea",Str. Gheorghe Doja,Nr. 100A,Oradea,Bihor,,Mihai
Bioclinica Hateg,"Str. Tudor Vladimirescu, Nr. 7 (General Praxis)Hunedoara, Hateg",Str. Tudor Vladimirescu,Nr. 7,Hateg,Hunedoara,(General Praxis),Mihai
Bioclinica Hunedoara,"Str. George Enescu, Nr.13, bl.13, parter, ap.15Hunedoara, Hunedoara",Str. George Enescu,Nr. 13,Hunedoara,Hunedoara,"bl.13, parter, ap.15",Mihai
Bioclinica Iancu de Hunedoara,"Bulevardul Iancu de Hunedoara, Nr. 29, sector 1 Bucuresti",Bulevardul Iancu de Hunedoara,Nr. 29,Sector 1,Bucuresti,,Mihai
Bioclinica ICIL,"Strada Stefan cel Mare, Nr. 125, bl. FA 18, sc. AConstanta, Constanta",Strada Stefan cel Mare,Nr. 125,Constanta,Constanta,"bl. FA 18, sc. A",Mihai
Bioclinica Lipova,"Calea Timisorii, Nr. 5Arad, Lipova",Calea Timisorii,Nr. 5,Lipova,Arad,,Mihai
Bioclinica Lugoj,"Str. 20 Decembrie 1989, Nr. 34Timis, Lugoj",Str. 20 Decembrie 1989,Nr. 34,Lugoj,Timis,,Mihai
Bioclinica Mangalia,"Str. Mircea cel Batran, Nr. 3Constanta, Mangalia",Str. Mircea cel Batran,Nr. 3,Mangalia,Constanta,,Mihai
Bioclinica Marasti,"Str. Aurel Vlaicu, Nr. 1Cluj, Cluj-Napoca",Str. Aurel Vlaicu,Nr. 1,Cluj-Napoca,Cluj,,Mihai
Bioclinica Medgidia,"Str. Republicii, Nr. 95BConstanta, Medgidia",Str. Republicii,Nr. 95B,Medgidia,Constanta,,Mihai
Bioclinica Mihail Kogalniceanu,"Str. Tudor Vladimirescu bl. V3, ap. 2Constanta, Mihail Kogalniceanu",Str. Tudor Vladimirescu,,Mihail Kogalniceanu,Constanta,"bl. V3, ap. 2",Mihai
Bioclinica Motru,"Str. Ghiocelului, Nr. 1, bl. 1 bis, sc. 2, ap. 1Gorj, Motru",Str. Ghiocelului,Nr. 1,Motru,Gorj,"bl. 1 bis, sc. 2, ap. 1",Mihai
Bioclinica Nadlac,"Str. Independentei, Nr. 33Arad, Nadlac",Str. Independentei,Nr. 33,Nadlac,Arad,,Mihai
Bioclinica Navodari,"Strada Albinelor Nr.17, bl. A11 , sc. A, Constanta, Navodari",Strada Albinelor,Nr. 17,Navodari,Constanta,"bl. A11 , sc. A",Mihai
Bioclinica Nicolae Iorga,"Strada Nicolae Iorga, Nr. 20Constanta, Constanta",Strada Nicolae Iorga,Nr. 20,Constanta,Constanta,,Mihai
Bioclinica Nufarului,"Str. Nufarului, Nr. 27Bihor, Oradea",Str. Nufarului,Nr. 27,Oradea,Bihor,,Mihai
Bioclinica OK Medical,"Str. Constantin Brancoveanu, Nr. 34A, parterCluj, Cluj-Napoca",Str. Constantin Brancoveanu,Nr. 34A,Cluj-Napoca,Cluj,parter,Mihai
Bioclinica Oltet,"Str. Oltet, Nr. 2, et. 2Brasov, Oltet",Str. Oltet,Nr. 2,Oltet,Brasov,et. 2,Mihai
Bioclinica Orastie,"Str. Eroilor,  bl. A, parterHunedoara, Orastie",Str. Eroilor,,Orastie,Hunedoara,"bl. A, parter",Mihai
Bioclinica Pantelimon,"Soseaua Pantelimon, Nr. 285, bl. 11, sector 2 Bucuresti",Soseaua Pantelimon,Nr. 285,Sector 2,Bucuresti,bl. 11,Mihai
Bioclinica Pascani,"Str. Mihail Kogalniceanu, Nr. 32, bl. J, parter (vis-a-vis de primaria noua)Iasi, Pascani",Str. Mihail Kogalniceanu,Nr. 32,Pascani,Iasi,"bl. J, parter (vis-a-vis",Mihai
Bioclinica Patulului,"Str. Patulului, Nr. 2A, bl. 27, parter, sector 3 (Piata Salajan) Bucuresti",Str. Patulului,Nr. 2A,Sector 3,Bucuresti,"bl. 27, parter",Mihai
Bioclinica Pecica,"Str. 113, Nr. 39Arad, Pecica",Str. 113,Nr. 39,Pecica,Arad,,Mihai
Bioclinica Petrosani,"B-dul 1 Decembrie 1918 bl. B1, parterHunedoara, Petrosani",B-dul 1 Decembrie 1918,,Petrosani,Hunedoara,"bl. B1, parter",Mihai
Bioclinica Piata Mihai Viteazu,"Piata Mihai Viteazul, Nr. 15, corp A, ap. 1Arad, Arad",Piata Mihai Viteazul,Nr. 15,Arad,Arad,"corp A, ap. 1",Mihai
Bioclinica Pitesti,"Aleea Spitalului, Nr. 20Arges, Pitesti",Aleea Spitalului,Nr. 20,Pitesti,Arges,,Mihai
Bioclinica Pitesti 2,"Str. Dacia Nr. 4A, parterArges, Pitesti",Str. Dacia,Nr. 4A,Pitesti,Arges,parter,Mihai
Bioclinica Polaris Medical,"Str. Principala, Nr. 323TCluj, Suceagu",Str. Principala,Nr. 323T,Suceagu,Cluj,,Mihai
Bioclinica Ramnicu Valcea,"Str. Calea lui Traian, Nr. 164, bl. 27, parter (vis-a-vis de Sp. Jud. Valcea)Valcea, Ramnicu Valcea",Str. Calea lui Traian,Nr. 164,Ramnicu Valcea,Valcea,"bl. 27, parter (vis-a-vis",Mihai
Bioclinica Rasnov,"Str. Izvor, Nr. 2, et.1, cabinet 21Brasov, Rasnov",Str. Izvor,Nr. 2,Rasnov,Brasov,"et.1, cabinet 21",Mihai
Bioclinica Recas,"Piata Sfanta Treime, Nr. 5Timis, Recas",Piata Sfanta Treime,Nr. 5,Recas,Timis,,Mihai
Bioclinica Reghin,"Str. Mihai Viteazul, Nr. 13, ap. 63Mures, Reghin",Str. Mihai Viteazul,Nr. 13,Reghin,Mures,ap. 63,Mihai
Bioclinica Roman,"Strada Tineretului, Nr.30Neamt, Roman",Strada Tineretului,Nr. 30,Roman,Neamt,,Mihai
Bioclinica Sacele,"Aleea Episcop Popeea, Nr. 20, et. 1Brasov, Sacele",Aleea Episcop Popeea,Nr. 20,Sacele,Brasov,et. 1,Mihai
Bioclinica Sannicolau Mare,"Piata 30 Decembrie, Nr. 12/ParterTimis, Sannicolau Mare",Piata 30 Decembrie,Nr. 12/Parter,Sannicolau Mare,Timis,,Mihai
Bioclinica Sebes,"Bulevardul Lucian Blaga, Nr. 106, bl. 94 (L4)Alba, Sebes",Bulevardul Lucian Blaga,Nr. 106,Sebes,Alba,bl. 94 (L4),Mihai
Bioclinica Secuilor Martiri,"Str. Secuilor Martiri, Nr. 12Mures, Targu Mures",Str. Secuilor Martiri,Nr. 12,Targu Mures,Mures,,Mihai
