clinic_name,description,medical_unit_type,clinic_schedule,primary_phone,secondary_phone,primary_email,website,address,clinic_street,clinic_number,clinic_city,clinic_county,clinic_other_details,facilities,clinic_specialities
Advanced Medical Consulting,"Advanced Medical Consulting (Advanced Cardiomed) a fost infiintata in anul 2007 si este coordonata de Dr.Shilbaya Aouni,medic generalist cu o vasta experienta in domeniul medical. Studiile si le-a facut in Romania, fiind absolvent al Facultatii de Medicina si Farmacie Cluj-Napoca promotia 1987. Dupa terminarea facultatii s-a intors in tara de origine ISRAEL ca stagier si a efectuat stagiile de specialitate in domeniul cardiologiei.",Clinica Medicala,"{""L"": [{""startTime"": ""07:00"", ""endTime"": ""20:00""}], ""Ma"": [{""startTime"": ""07:00"", ""endTime"": ""20:00""}], ""Mi"": [{""startTime"": ""07:00"", ""endTime"": ""20:00""}], ""J"": [{""startTime"": ""07:00"", ""endTime"": ""20:00""}], ""V"": [{""startTime"": ""07:00"", ""endTime"": ""20:00""}], ""S"": [{""startTime"": ""07:00"", ""endTime"": ""15:00""}], ""D"": []}","{""label"": ""phone"", ""value"": ""031 - 432 98 00""}","[{""label"": ""phone"", ""value"": ""0372.131.951""}, {""label"": ""fax"", ""value"": ""031 - 432 98 00""}]",office@advancedmedical.ro aouni,http://www.advancedmedical.ro,Sos. Kiseleff,,55,Bucuresti,Bucuresti,Vila 4,,"[""Cardiologie"", ""Medicina de Laborator (Analize medicale)"", ""Medicina Generala""]"
Aeromed Clinic,"Aeromed Clinic a luat fiinta in anul 2007 avand ca obiect de activitatea examinarea si certificarea medicala a personalului aeronautic din aviatia civila, in concordanta cu prevederile JAR-FCL 3 si anexa 1 ICAO. In societate activeaza personal licentiat si autorizat in practica medicala, cu pregatire in medicina aeronautica. Medicii sunt desemnati si autorizati, de Autoritatea Aeronautica Civila Romana, ca examinatori medicali - AME - independenti si pot efectua examinari si certificari medicale in concordanta cu limitarile mentionate in autorizatia pentru servicii medicale. La Aeromed Clinic se fac examinari medicale pentru obtinerea urmatoarelor licente medicale:",Clinica Medicala,"{""L"": [{""startTime"": ""08:00"", ""endTime"": ""12:00""}], ""Ma"": [{""startTime"": ""08:00"", ""endTime"": ""12:00""}], ""Mi"": [{""startTime"": ""08:00"", ""endTime"": ""12:00""}], ""J"": [{""startTime"": ""08:00"", ""endTime"": ""12:00""}], ""V"": [{""startTime"": ""08:00"", ""endTime"": ""12:00""}], ""S"": [], ""D"": []}","{""label"": ""phone"", ""value"": ""021 - 231 00 39""}","[{""label"": ""phone"", ""value"": ""0748 406 657""}, {""label"": ""fax"", ""value"": ""021 - 231 00 39""}]",,,,,,,,,,"[""Medicina Muncii"", ""Psihiatrie""]"
Affidea Arad,"Centrul de Diagnostic Imagistic Affidea Arad a fost primul centru Affidea deschis în România în data de 18 iunie 2002.Centrul de Diagnostic Imagistic Arad functioneaza ca un centru medical de top, în deplina conformitate cu toate standardele internationale aplicabile. Centrul din Arad a fost pionier în ceea ce priveste stabilirea nivelului de performanta pentru toate centrele Affidea ce i-au urmat, în întreaga tara.Affidea Arad ofera servicii de diagnosticare a pacientilor din judetele limitrofe, dar si din toata tara, pacienti asigurati prin sistemul national de asigurari de sanatate, precum si în regim privat.",Clinica Medicala,"{""L"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""Ma"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""Mi"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""J"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""V"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""S"": [], ""D"": []}",,,arad@affidea.com,www.affidea.ro,Str Cornel Radu ,,1,Arad,Arad,,,"[""Cardiologie"", ""Medicina Interna"", ""Neurologie"", ""Radiologie - Imagistica Medicala""]"
Affidea Cluj,,Centru Medical,"{""L"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""Ma"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""Mi"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""J"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""V"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""S"": [{""startTime"": ""09:00"", ""endTime"": ""16:00""}], ""D"": []}",,,cluj@affidea.com,www.affidea.ro,Str Ciresilor ,,15,Cluj-Napoca,Cluj-Napoca,,,"[""Medicina de Urgenta"", ""Radiologie - Imagistica Medicala""]"
Affidea Constanta,"Centrul de Diagnostic si Tratament Affidea Constanta, a fost cel de-al doilea proiect de succes al Affidea România pe piata de profil.",Centru Medical,"{""L"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""Ma"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""Mi"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""J"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""V"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""S"": [], ""D"": []}",,,constanta@affidea.com,www.affidea.ro,Bd Tomis,,141A,Constanta,Constanta,,,"[""Cardiologie"", ""Chirurgie Generala"", ""Diabet Zaharat, Nutritie si Boli Metabolice"", ""Hematologie"", ""Medicina Interna"", ""Neurologie"", ""Obstetrica - Ginecologie"", ""Oncologie Medicala"", ""Ortopedie si Traumatologie"", ""Pediatrie""]"
Affidea Deva,"Centrele Phoenix din orasele Cluj-Napoca, Piatra Neamt, Deva si Medias s-au alãturat echipei Affidea Romania in septembrie 2015.",Centru Medical,"{""L"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""Ma"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""Mi"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""J"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""V"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""S"": [], ""D"": []}",,,rezultatedeva@affidea.com,www.affidea.ro,B-dul 22 Decembrie,,58,Deva,Hunedoara,,,"[""Radiologie - Imagistica Medicala""]"
Affidea Floreasca,Centrul de imagistica de înalta performanta Affidea Floreasca a fost dezvoltat în parteneriat cu Reteaua de sanatate Regina Maria în cadrul Policlinicii Floreasca din Bucuresti.,Centru Medical,"{""L"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""Ma"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""Mi"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""J"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""V"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""S"": [], ""D"": []}",,,floreasca@affidea.com,www.affidea.ro,Str Hatmanul Arbore,,15-19,Bucuresti,Bucuresti,,,"[""Investigatii Imagistica""]"
Affidea Focsani,"Centrul de Diagnostic Imagistic si Tratament Affidea Focsani a fost deschis publicului în martie 2009 si ofera servicii de imagistica medicala de cea mai înalta calitate pacientilor din întreaga tara, fie provenind din randul asiguratilor sistemului national de asigurari de sanatate, fie din mediul privat. Centrul ofera servicii medicale în ambulatoriu, în principal pentru pacientii din judetul Vrancea si din zonele si judetele învecinate.",Centru Medical,"{""L"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""Ma"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""Mi"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""J"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""V"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""S"": [], ""D"": []}","{""label"": ""phone"", ""value"": ""0237 23 13 50""}","[{""label"": ""phone"", ""value"": ""0372 733 997""}, {""label"": ""fax"", ""value"": ""0237 231 350""}]",focsani@affidea.com,www.affidea.ro,Soseaua Vrancei,,10B,Focsani,Vrancea,,,"[""Medicina Nucleara"", ""Neurologie"", ""Obstetrica - Ginecologie"", ""Radiologie - Imagistica Medicala""]"
Affidea Fundeni,"Centrul de Excelenta în Oncologie Affidea Fundeni din Bucuresti este cel mai mare centru de diagnostic imagistic de înalta performanta si medicina nucleara din România, oferind o larga gama de servicii medicale paraclinice si clinice de top, gama ce include PET/CT, SPECT/CT, RMN, CT, Scintigrafie, Mamografie, dar si alte investigatii imagistice de înalta performanta, investigatii de laborator si servicii clinice (consultatii si spitalizare de zi).",Clinica Medicala,"{""L"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""Ma"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""Mi"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""J"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""V"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""S"": [], ""D"": []}","{""label"": ""phone"", ""value"": ""021-93 38""}","[{""label"": ""phone"", ""value"": ""0372 716 056""}, {""label"": ""fax"", ""value"": ""021 316 73 88""}]",fundeni@affidea.com,www.affidea.ro,Sos Fundeni,,258,Bucuresti,Bucuresti,,"[""Loc de Parcare"", ""Loc de Parcare pentru persoane cu dizabilitati"", ""Cai de acces pentru persoane cu dizabilitati""]","[""Cardiologie"", ""Dermatologie"", ""Endocrinologie"", ""Gastroenterologie"", ""Hematologie"", ""Investigatii Imagistica"", ""Medicina de Laborator (Analize medicale)"", ""Medicina Interna"", ""Nefrologie"", ""Neurologie"", ""Obstetrica - Ginecologie"", ""Oncologie Medicala"", ""Otorinolaringologie (ORL)"", ""Pediatrie"", ""Psihiatrie"", ""Psihologie"", ""Reumatologie"", ""Urologie""]"
Affidea Iasi,"Centrul de Diagnostic Imagistic Affidea Iasi a fost inaugurat ca un raspuns al cererii de piata locala în anul 2008. Centrul de Diagnostic Imagistic Affidea Iasi este localizat în imediata apropiere a Spitalului de Urgenta Sfântul Ioan din Iasi, deservind cu servicii medicale de cea mai înalta calitate populatia judetului Iasi si a judetelor limitrofe.",Centru Medical,"{""L"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""Ma"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""Mi"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""J"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""V"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""S"": [], ""D"": []}",,,iasi@affidea.com,www.affidea.ro,Str Lascar Catargi ,,37,Iasi,Iasi,demisolIasi,,"[""Investigatii Imagistica"", ""Medicina Nucleara"", ""Radiologie - Imagistica Medicala""]"
Affidea Petrosani,"Centrul de Diagnostic Imagistic si Tratament Affidea Petrosani a fost construit în vederea acoperirii cererii de servicii medicale de diagnostic imagistic la cel mai înalt nivel profesional, pentru populatia defavorizata din Valea Jiului si din zonele adiacente. Centrul de la Petrosani a fost inaugurat la data de 7 septembrie 2004.",Centru Medical,"{""L"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""Ma"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""Mi"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""J"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""V"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""S"": [], ""D"": []}","{""label"": ""phone"", ""value"": ""0254 54 94 01""}","[{""label"": ""phone"", ""value"": ""0372 735 314""}, {""label"": ""fax"", ""value"": ""0254 549 402""}]",petrosani@affidea.com,www.affidea.ro,Bdul 1 Decembrie 1918,,137A,Petrosani,Hunedoara,,,"[""Endocrinologie"", ""Medicina Interna"", ""Neurologie"", ""Ortopedie si Traumatologie"", ""Reumatologie""]"
Affidea Piatra Neamt,"Centrele Phoenix din orasele Cluj-Napoca, Piatra Neamt, Deva si Medias s-au alãturat echipei Affidea Romania in septembrie 2015.",Centru Medical,"{""L"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""Ma"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""Mi"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""J"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""V"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""S"": [], ""D"": []}",,,rezultateneamt@affidea.com,www.affidea.ro,B-dul Traian,,1-3,Neamt,Piatra-Neamt,,,"[""Radiologie - Imagistica Medicala""]"
